"sum","mean","sd","ll","ul","Version"
233,0.353030303030303,4.03564240483688,-3.68261210180658,4.38867270786718,"1.0"
48697,73.7833333333333,28.7677112211309,45.0156221122024,102.551044554464,"1.1"
48713,73.8075757575758,28.7754785729709,45.0320971846049,102.583054330547,"2.0"
48713,73.8075757575758,28.7754785729709,45.0320971846049,102.583054330547,"2.1"
48713,73.8075757575758,28.7754785729709,45.0320971846049,102.583054330547,"2.1.p1"
2018,3.05757575757576,11.8055703089898,-8.74799455141403,14.8631460665656,"2.2"
2018,3.05757575757576,11.8055703089898,-8.74799455141403,14.8631460665656,"2.2.1"
2139,3.24090909090909,12.1594549693255,-8.91854587841643,15.4003640602346,"3.0"
2139,3.24090909090909,12.1594549693255,-8.91854587841643,15.4003640602346,"3.1.1"
2139,3.24090909090909,12.1594549693255,-8.91854587841643,15.4003640602346,"3.1.2"
